Date;Dividend
04/26/22;0.65
01/24/22;0.65
10/25/21;0.65
07/26/21;0.64
04/26/21;0.64
01/28/21;0.64
10/26/20;0.64
07/27/20;0.63
04/27/20;0.63
01/27/20;0.63
10/25/19;0.63
07/25/19;0.625
04/25/19;0.625
01/25/19;0.625
10/25/18;0.625
07/25/18;0.6
04/25/18;0.6
01/25/18;0.6
10/25/17;0.6
07/25/17;0.5
04/25/17;0.5
01/25/17;0.5
10/25/16;0.5
07/25/16;0.45
04/25/16;0.45
01/25/16;0.45
10/26/15;0.45
07/27/15;0.42
04/27/15;0.42
01/26/15;0.42
10/27/14;0.42
07/25/14;0.42
04/25/14;0.42
01/27/14;0.38
10/25/13;0.38
07/25/13;0.38
04/25/13;0.38
01/25/13;0.26
10/25/12;0.26
07/25/12;0.2
04/25/12;0.2
01/25/12;0.2
10/25/11;0.16
07/25/11;0.16
04/25/11;0.14
01/25/11;0.14
10/25/10;0.14
07/26/10;0.14
04/26/10;0.14
01/25/10;0.14
10/26/09;0.14
07/24/09;0.14
04/24/09;0.14
01/26/09;0.14
10/24/08;0.14
07/25/08;0.14
04/25/08;0.12
01/25/08;0.11
10/25/07;0.11
07/25/07;0.09
04/25/07;0.09
01/25/07;0.09
